pad_ufes20_anatomical_site,ham10000_anatomical_site,mapping_type,reason
ABDOMEN,abdomen,clean,"Identical concept; only casing differs between the two datasets' raw category strings."
BACK,back,clean,"Identical concept; only casing differs."
CHEST,chest,clean,"Identical concept; only casing differs."
EAR,ear,clean,"Identical concept; only casing differs."
FACE,face,clean,"Identical concept; only casing differs."
FOOT,foot,clean,"Identical concept; only casing differs."
HAND,hand,clean,"Identical concept; only casing differs."
NECK,neck,clean,"Identical concept; only casing differs."
SCALP,scalp,clean,"Identical concept; only casing differs."
ARM,upper extremity,lossy_coarsened,"HAM10000 has no arm-specific category; its 'upper extremity' is a coarser region covering arm + forearm (and possibly shoulder). Mapping is directionally correct but loses PAD-UFES-20's ARM/FOREARM distinction after mapping - both collapse to the same HAM10000 category."
FOREARM,upper extremity,lossy_coarsened,"Same coarser 'upper extremity' bucket as ARM (see above) - HAM10000 does not distinguish forearm from arm. Flagged so the ARM/FOREARM collision is visible, not silently absorbed."
THIGH,lower extremity,lossy_coarsened,"HAM10000 has no thigh-specific category; its 'lower extremity' is a coarser region (thigh, and likely lower leg). Directionally correct, single mapping (no collision partner in this dataset's PAD-UFES-20 category list)."
LIP,NO CLEAN EQUIVALENT - falls to unseen-category fallback,ambiguous,"HAM10000 has no lip/mouth/oral category. Lip is anatomically distinct from general face (different tissue, different UV/lesion-risk profile) - mapping it to 'face' would be a real taxonomy stretch, not a naming difference. DECISION (approved 2026-07-18): left unmapped, falls to the existing unseen-category zero-one-hot fallback - no invented equivalence; these rows retain age/sex signal only for anatomical_site purposes."
NOSE,NO CLEAN EQUIVALENT - falls to unseen-category fallback,ambiguous,"Same issue as LIP: nose is anatomically part of the face region but not separately coded in HAM10000, and is a distinct high-UV-exposure subsite worth keeping separate in principle. DECISION (approved 2026-07-18): left unmapped, same fallback treatment as LIP."
